1. sorunun sonuçları
CheckinCount,UserID
(2175,10971)
(2175,776)
(2150,18931)
(2125,49918)
(2125,620)
(2100,19096)
(2100,2)
(2075,695)
(2075,19278)
(2050,4900)
(2050,53)
(2050,22)
(2025,576)
(2025,1174)
(2025,18830)
(2025,578)
(2025,993)
(2000,756)
(2000,472)
(2000,11067)
(1975,819)
(1975,19177)
(1975,680)
(1975,10445)
(1975,3222)
(1975,18916)
(1975,1198)
(1975,491)
(1975,588)
(1975,1695)
(1975,443)
(1973,1108)
(1950,3384)
(1950,19194)
(1950,3236)
(1950,726)
(1950,3206)
(1950,1307)
(1950,551)
(1950,1359)
(1950,3279)
(1950,1251)
(1925,19456)
(1925,337)
(1925,3756)
(1925,19074)
(1900,39729)
(1900,2971)
(1900,1488)
(1900,6207)
(1900,2810)
(1900,241)
(1900,39579)
(1900,10374)
(1886,103757)
(1875,4914)
(1875,1203)
(1875,19404)
(1875,661)
(1875,842)
(1875,3486)
(1875,1404)
(1875,728)
(1875,6425)
(1875,401)
(1875,898)
(1875,111565)
(1875,5604)
(1875,687)
(1875,753)
(1875,3412)
(1875,1384)
(1875,4883)
(1870,346)
(1868,976)
(1858,3295)
(1850,1827)
(1850,3252)
(1850,19574)
(1850,350)
(1850,18584)
(1850,1403)
(1850,19164)
(1850,4893)
(1850,16936)
(1850,3395)
(1850,19709)
(1850,1265)
(1850,984)
(1850,105286)
(1825,19294)
(1825,3340)
(1825,10731)
(1825,4906)
(1825,1426)
(1825,2798)
(1825,1725)
(1825,1479)
(1825,786)
(1825,39612)
