2. sorunun sonuçları
CheckinCount,LocationID

(5811,55033)
(5662,19542)
(4713,9410)
(4083,10259)
(3476,58725)
(3420,14470)
(3416,23256)
(3402,9246)
(3398,10190)
(3322,9241)
(3121,22831)
(2950,66171)
(2453,11319)
(2275,23372)
(2081,63842)
(1980,46077)
(1875,420315)
(1854,23524)
(1764,23523)
(1680,12505)
(1666,9247)
(1654,23261)
(1583,14128)
(1580,316637)
(1439,66106)
(1377,63743)
(1325,12802)
(1270,18643)
(1257,153505)
(1240,17165)
(1215,64718)
(1201,23275)
(1200,758476)
(1200,9227)
(1176,14710)
(1175,15684)
(1144,52957)
(1116,21714)
(1093,16399)
(1089,24963)
(1089,11844)
(1088,58920)
(1061,9225)
(1057,74512)
(1056,70584)
(1055,10677)
(1037,33472)
(1028,17831)
(1023,24956)
(1021,24767)
(1016,9326)
(1005,13022)
(994,74453)
(994,9223)
(981,58876)
(980,26106)
(980,69788)
(978,124132)
(969,14045)
(957,69644)
(937,9724)
(937,631060)
(935,9362)
(930,10377)
(906,34041)
(904,22833)
(904,8977)
(901,9430)
(901,84628)
(898,9220)
(885,9222)
(878,107632)
(876,23526)
(861,9066)
(841,43638)
(838,12535)
(837,45241)
(803,60049)
(801,211530)
(784,25071)
(782,9313)
(757,11591)
(756,22899)
(754,23373)
(754,23519)
(754,623366)
(754,50402)
(753,28227)
(753,17159)
(752,76469)
(749,30432)
(737,9221)
(735,31707)
(732,155746)
(731,259919)
(728,25567)
(721,9306)
(720,12840)
(719,53626)
(706,9249)
