soru 3 - random userların checkin yaptıkları yerde checkin yapan userların büyükten küçüğe sıralanmış hali 

UserId,locId,EnÇokGidenUserID,Count(Kaç kez gittiği)

(190530,(347013,(11720,2)))
(190530,(347013,(19000,1)))
(190530,(347013,(190530,1)))
(190530,(347013,(142531,1)))
(190530,(347013,(24308,1)))
(190530,(347013,(7624,1)))
(190578,(84477,(70966,15)))
(190578,(84477,(110523,12)))
(190578,(84477,(39729,5)))
(190578,(84477,(132536,4)))
(190578,(84477,(46414,3)))
(190578,(84477,(158396,3)))
(190578,(84477,(86757,3)))
(190578,(84477,(99593,3)))
(190578,(84477,(90379,2)))
(190578,(84477,(111011,2)))
(190578,(84477,(117127,2)))
(190578,(84477,(14788,2)))
(190578,(84477,(117331,2)))
(190578,(84477,(167881,2)))
(190578,(84477,(147229,2)))
(190578,(84477,(39612,2)))
(190578,(84477,(148984,2)))
(190578,(84477,(111584,2)))
(190578,(84477,(10971,2)))
(190578,(84477,(10904,2)))
(190578,(84477,(39208,2)))
(190578,(84477,(54907,2)))
(190578,(84477,(179065,1)))
(190578,(84477,(147576,1)))
(190578,(84477,(46568,1)))
(190578,(84477,(55830,1)))
(190578,(84477,(39613,1)))
(190578,(84477,(151239,1)))
(190578,(84477,(10062,1)))
(190578,(84477,(88045,1)))
(190578,(84477,(164368,1)))
(190578,(84477,(116028,1)))
(190578,(84477,(105503,1)))
(190578,(84477,(156909,1)))
(190578,(84477,(107758,1)))
(190578,(84477,(138452,1)))
(190578,(84477,(1400,1)))
(190578,(84477,(52772,1)))
(190578,(84477,(24116,1)))
(190578,(84477,(93450,1)))
(190578,(84477,(32649,1)))
(190578,(84477,(16771,1)))
(190578,(84477,(1295,1)))
(190578,(84477,(158194,1)))
(190578,(84477,(145550,1)))
(190578,(84477,(102902,1)))
(190578,(84477,(174641,1)))
(190578,(84477,(110805,1)))
(190578,(84477,(89372,1)))
(190578,(84477,(102716,1)))
(190578,(84477,(142161,1)))
(190578,(84477,(25003,1)))
(190578,(84477,(163958,1)))
(190578,(84477,(117113,1)))
(190578,(84477,(114859,1)))
(190578,(84477,(52297,1)))
(190578,(84477,(56422,1)))
(190578,(84477,(165924,1)))
(190578,(84477,(110696,1)))
(190578,(84477,(163849,1)))
(190578,(84477,(89846,1)))
