soru 4 - userID:190530 olan kişinin checkin yaptığı yerde checkin yapan userların checkin sayılarına göre sıralaması

UserId,Location,CheckinYapanUser,Count

(190530,(347013,(11720,2)))
(190530,(347013,(19000,1)))
(190530,(347013,(190530,1)))
(190530,(347013,(142531,1)))
(190530,(347013,(24308,1)))
(190530,(347013,(7624,1)))
(190530,(785235,(111147,5)))
(190530,(785235,(24308,4)))
(190530,(785235,(40489,2)))
(190530,(785235,(34370,2)))
(190530,(785235,(76148,2)))
(190530,(785235,(108940,2)))
(190530,(785235,(8923,2)))
(190530,(785235,(1638,1)))
(190530,(785235,(24298,1)))
(190530,(785235,(67670,1)))
(190530,(785235,(82196,1)))
(190530,(785235,(96668,1)))
(190530,(785235,(49480,1)))
(190530,(785235,(40487,1)))
(190530,(785235,(63544,1)))
(190530,(785235,(59211,1)))
(190530,(785235,(12666,1)))
(190530,(785235,(2914,1)))
(190530,(785235,(34301,1)))
(190530,(785235,(57894,1)))
(190530,(785235,(172538,1)))
(190530,(785235,(32477,1)))
(190530,(785235,(11658,1)))
(190530,(785235,(9633,1)))
(190530,(785235,(1479,1)))
(190530,(785235,(19000,1)))
(190530,(785235,(12720,1)))
(190530,(785235,(643,1)))
(190530,(785235,(71116,1)))
(190530,(785235,(190530,1)))
(190530,(785235,(10331,1)))
(190530,(686862,(119942,2)))
(190530,(686862,(190530,1)))
(190530,(26646,(6425,17)))
(190530,(26646,(179156,13)))
(190530,(26646,(2704,11)))
(190530,(26646,(71895,10)))
(190530,(26646,(10762,9)))
(190530,(26646,(89156,9)))
(190530,(26646,(32557,9)))
(190530,(26646,(114592,7)))
(190530,(26646,(31867,6)))
(190530,(26646,(178149,6)))
(190530,(26646,(190,6)))
(190530,(26646,(3914,6)))
(190530,(26646,(90734,6)))
(190530,(26646,(78023,6)))
(190530,(26646,(189,6)))
(190530,(26646,(341,5)))
(190530,(26646,(17203,5)))
(190530,(26646,(138264,5)))
(190530,(26646,(4893,5)))
(190530,(26646,(117729,5)))
(190530,(26646,(172,5)))
(190530,(26646,(10445,5)))
(190530,(26646,(1008,5)))
(190530,(26646,(32460,4)))
(190530,(26646,(34211,4)))
(190530,(26646,(15983,4)))
(190530,(26646,(3469,4)))
(190530,(26646,(149864,4)))
(190530,(26646,(11215,4)))
